id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
1,Data Structures,medium,What is the degree of a node in a graph?,Number of neighbors,Number of edges connected,Height of node,Depth of node,b,Degree is the number of edges connected to a node.
2,Operating Systems,easy,Which OS manages iPhone devices?,Windows,Linux,iOS,Android,c,iOS is Appleâ€™s mobile operating system designed for iPhone/iPad hardware.
3,SQL,hard,What does the RANK() function do in SQL?,Assigns row numbers without gaps,Assigns ranking with possible gaps,Evaluates null values,Performs join operations,b,"RANK() assigns ranks to rows with gaps for ties, unlike DENSE_RANK()."
4,Data Science,medium,What is PCA used for?,Supervised prediction,Clustering,Dimensionality reduction,Image generation,c,Principal Component Analysis reduces dataset dimensionality by feature transformation.
5,Machine Learning,easy,What is a common task in unsupervised learning?,Classification,Regression,Clustering,Reinforcement learning,c,Clustering is a classic example of an unsupervised learning task. It involves grouping similar data points together based on their features without any predefined labels.
6,Software Development,easy,Which of the following is an example of 'code documentation'?,Writing comments within the code,Creating a flowchart of the program logic,Giving a presentation about the software,Testing the software for errors,a,"Code documentation involves writing comments, docstrings, or other explanatory text within the source code to make it easier for other developers to understand and maintain."
7,Cybersecurity,easy,What is malware?,A security testing framework,A piece of malicious code/software,A type of database indexing technique,Encrypted software,b,Malware is malicious software intended to damage or exploit systems.
8,Algorithms,medium,What is the main difference between Primâ€™s and Kruskalâ€™s algorithm for MST?,Prim works on edges directly, Kruskal works on vertices directly,Prim grows MST from a vertex, Kruskal grows MST by adding edges,prim is greedy while kruskal is not,B
9,Machine Learning,easy,What is overfitting?,When a model is too simple to capture the underlying trend,When a model performs well on the training data but poorly on unseen data,When a model has a perfect score on all data,When a model is too complex and slow to train,b,"Overfitting occurs when a model learns the training data and noise too well, making it perform poorly on new, unseen data. It essentially memorizes the training data instead of learning the general trend."
10,Operating Systems,medium,What is the difference between a user thread and a kernel thread?,User threads are managed by the kernel; kernel threads are managed by the user,User threads are lightweight and managed by a user-level library; kernel threads are heavier and managed by the OS,User threads can be used on all operating systems; kernel threads cannot,User threads are always faster than kernel threads,b,"User threads are managed by a user-level library without kernel intervention, making them fast and lightweight. Kernel threads are managed directly by the operating system's kernel, which involves a system call for creation and management."
11,Operating Systems,easy,Which of these is a type of operating system?,Batch,Real-Time,Distributed,All of the above,d,"Operating systems can be classified into these types: batch, RTOS, and distributed, among others."
12,Cybersecurity,easy,"What is a ""zero-day"" vulnerability?",A vulnerability that has been known for years,A vulnerability that has a severity score of zero,A newly discovered vulnerability that hackers can exploit before a patch is available,A vulnerability that can only be exploited on the first day of the month,c,"A zero-day vulnerability is a software flaw that is not yet known to the vendor or the public. It can be exploited by hackers on the 'zero day' of its public discovery, before a fix is available."
13,Software Engineering,easy,What is the purpose of a 'test plan'?,To define the features of the software,To specify how the software will be deployed,To detail the scope and approach of testing activities,To describe the system's architecture,c,"A test plan is a document that outlines the scope, objectives, resources, and schedule of testing activities for a software project. It defines what to test, who will test, and how it will be tested."
14,Algorithms,medium,Which algorithm is best for finding minimum spanning tree in dense graphs?,Prim,Dijkstra,Kruskal,Floyd-Warshall,a,Primâ€™s works efficiently for dense graphs.
15,Algorithms,easy,What is the worst-case time complexity of a linear search algorithm?,O(1),O(n),O(log n),O(n^2),b,"In a linear search, you must check every element in the worst-case scenario (e.g., the element is at the end or not present), so the time complexity is proportional to the number of elements, O(n)."
16,Algorithms,hard,"What is the ""master theorem"" in algorithm analysis used for?",To find the minimum spanning tree of a graph,To solve recurrence relations for divide and conquer algorithms,To analyze the space complexity of an algorithm,To find the time complexity of a recursive algorithm without a recurrence relation,b,"The master theorem provides a cookbook method for solving recurrence relations of the form T(n) = aT(n/b) + f(n), which is common in the analysis of divide and conquer algorithms."
17,Software Engineering,easy,Which methodology uses sprints?,Waterfall,Scrum,Spiral,V-Model,b,Scrum Agile uses iterative sprints for rapid delivery.
